"행정구역(동읍면)별","5세별","항목","단위","2019 년",
"종로구","100+","남자인구수","명","82",
"종로구","100+","여자인구수","명","171",
"청운효자동","계","총인구수","명","12734",
"청운효자동","계","남자인구수","명","5939",
"청운효자동","계","여자인구수","명","6795",
"청운효자동","0 - 4세","총인구수","명","385",
"청운효자동","0 - 4세","남자인구수","명","195",
"청운효자동","0 - 4세","여자인구수","명","190",
"청운효자동","5 - 9세","총인구수","명","516",
"청운효자동","5 - 9세","남자인구수","명","270",
"청운효자동","5 - 9세","여자인구수","명","246",
"청운효자동","10 - 14세","총인구수","명","581",
"청운효자동","10 - 14세","남자인구수","명","293",
"청운효자동","10 - 14세","여자인구수","명","288",
"청운효자동","15 - 19세","총인구수","명","677",
"청운효자동","15 - 19세","남자인구수","명","374",
"청운효자동","15 - 19세","여자인구수","명","303",
"청운효자동","20 - 24세","총인구수","명","807",
"청운효자동","20 - 24세","남자인구수","명","412",
"청운효자동","20 - 24세","여자인구수","명","395",
"청운효자동","25 - 29세","총인구수","명","821",
"청운효자동","25 - 29세","남자인구수","명","391",
"청운효자동","25 - 29세","여자인구수","명","430",
"청운효자동","30 - 34세","총인구수","명","804",
"청운효자동","30 - 34세","남자인구수","명","389",
"청운효자동","30 - 34세","여자인구수","명","415",
"청운효자동","35 - 39세","총인구수","명","956",
"청운효자동","35 - 39세","남자인구수","명","428",
"청운효자동","35 - 39세","여자인구수","명","528",
"청운효자동","40 - 44세","총인구수","명","1062",
"청운효자동","40 - 44세","남자인구수","명","450",
"청운효자동","40 - 44세","여자인구수","명","612",
"청운효자동","45 - 49세","총인구수","명","1189",
"청운효자동","45 - 49세","남자인구수","명","544",
"청운효자동","45 - 49세","여자인구수","명","645",
"청운효자동","50 - 54세","총인구수","명","1076",
"청운효자동","50 - 54세","남자인구수","명","509",
"청운효자동","50 - 54세","여자인구수","명","567",
"청운효자동","55 - 59세","총인구수","명","910",
"청운효자동","55 - 59세","남자인구수","명","442",
"청운효자동","55 - 59세","여자인구수","명","468",
"청운효자동","60 - 64세","총인구수","명","772",
"청운효자동","60 - 64세","남자인구수","명","343",
"청운효자동","60 - 64세","여자인구수","명","429",
"청운효자동","65 - 69세","총인구수","명","562",
"청운효자동","65 - 69세","남자인구수","명","239",
"청운효자동","65 - 69세","여자인구수","명","323",
"청운효자동","70 - 74세","총인구수","명","544",
"청운효자동","70 - 74세","남자인구수","명","209",
"청운효자동","70 - 74세","여자인구수","명","335",
"청운효자동","75 - 79세","총인구수","명","481",
"청운효자동","75 - 79세","남자인구수","명","218",
"청운효자동","75 - 79세","여자인구수","명","263",
"청운효자동","80 - 84세","총인구수","명","343",
"청운효자동","80 - 84세","남자인구수","명","141",
"청운효자동","80 - 84세","여자인구수","명","202",
"청운효자동","85 - 89세","총인구수","명","154",
"청운효자동","85 - 89세","남자인구수","명","58",
"청운효자동","85 - 89세","여자인구수","명","96",
"청운효자동","90 - 94세","총인구수","명","52",
"청운효자동","90 - 94세","남자인구수","명","20",
"청운효자동","90 - 94세","여자인구수","명","32",
"청운효자동","95 - 99세","총인구수","명","25",
"청운효자동","95 - 99세","남자인구수","명","11",
"청운효자동","95 - 99세","여자인구수","명","14",
"청운효자동","100+","총인구수","명","17",
"청운효자동","100+","남자인구수","명","3",
"청운효자동","100+","여자인구수","명","14",
"사직동","계","총인구수","명","9535",
"사직동","계","남자인구수","명","4297",
"사직동","계","여자인구수","명","5238",
"사직동","0 - 4세","총인구수","명","268",
"사직동","0 - 4세","남자인구수","명","139",
"사직동","0 - 4세","여자인구수","명","129",
"사직동","5 - 9세","총인구수","명","370",
"사직동","5 - 9세","남자인구수","명","181",
"사직동","5 - 9세","여자인구수","명","189",
"사직동","10 - 14세","총인구수","명","376",
"사직동","10 - 14세","남자인구수","명","180",
"사직동","10 - 14세","여자인구수","명","196",
"사직동","15 - 19세","총인구수","명","372",
"사직동","15 - 19세","남자인구수","명","167",
"사직동","15 - 19세","여자인구수","명","205",
"사직동","20 - 24세","총인구수","명","510",
"사직동","20 - 24세","남자인구수","명","243",
"사직동","20 - 24세","여자인구수","명","267",
"사직동","25 - 29세","총인구수","명","730",
"사직동","25 - 29세","남자인구수","명","330",
"사직동","25 - 29세","여자인구수","명","400",
"사직동","30 - 34세","총인구수","명","690",
"사직동","30 - 34세","남자인구수","명","323",
"사직동","30 - 34세","여자인구수","명","367",
"사직동","35 - 39세","총인구수","명","704",
"사직동","35 - 39세","남자인구수","명","294",
"사직동","35 - 39세","여자인구수","명","410",
"사직동","40 - 44세","총인구수","명","699",
"사직동","40 - 44세","남자인구수","명","286",
"사직동","40 - 44세","여자인구수","명","413",
"사직동","45 - 49세","총인구수","명","835",
"사직동","45 - 49세","남자인구수","명","397",
"사직동","45 - 49세","여자인구수","명","438",
"사직동","50 - 54세","총인구수","명","769",
"사직동","50 - 54세","남자인구수","명","339",
"사직동","50 - 54세","여자인구수","명","430",
"사직동","55 - 59세","총인구수","명","769",
"사직동","55 - 59세","남자인구수","명","352",
"사직동","55 - 59세","여자인구수","명","417",
"사직동","60 - 64세","총인구수","명","676",
"사직동","60 - 64세","남자인구수","명","313",
"사직동","60 - 64세","여자인구수","명","363",
"사직동","65 - 69세","총인구수","명","446",
"사직동","65 - 69세","남자인구수","명","197",
"사직동","65 - 69세","여자인구수","명","249",
"사직동","70 - 74세","총인구수","명","410",
"사직동","70 - 74세","남자인구수","명","173",
"사직동","70 - 74세","여자인구수","명","237",
"사직동","75 - 79세","총인구수","명","374",
"사직동","75 - 79세","남자인구수","명","167",
"사직동","75 - 79세","여자인구수","명","207",
"사직동","80 - 84세","총인구수","명","287",
"사직동","80 - 84세","남자인구수","명","119",
"사직동","80 - 84세","여자인구수","명","168",
"사직동","85 - 89세","총인구수","명","142",
"사직동","85 - 89세","남자인구수","명","56",
"사직동","85 - 89세","여자인구수","명","86",
"사직동","90 - 94세","총인구수","명","68",
"사직동","90 - 94세","남자인구수","명","28",
"사직동","90 - 94세","여자인구수","명","40",
"사직동","95 - 99세","총인구수","명","21",
"사직동","95 - 99세","남자인구수","명","8",
"사직동","95 - 99세","여자인구수","명","13",
"사직동","100+","총인구수","명","19",
"사직동","100+","남자인구수","명","5",
"사직동","100+","여자인구수","명","14",
"삼청동","계","총인구수","명","2758",
"삼청동","계","남자인구수","명","1326",
"삼청동","계","여자인구수","명","1432",
"삼청동","0 - 4세","총인구수","명","48",
"삼청동","0 - 4세","남자인구수","명","21",
"삼청동","0 - 4세","여자인구수","명","27",
"삼청동","5 - 9세","총인구수","명","58",
"삼청동","5 - 9세","남자인구수","명","24",
"삼청동","5 - 9세","여자인구수","명","34",
"삼청동","10 - 14세","총인구수","명","105",
"삼청동","10 - 14세","남자인구수","명","68",
"삼청동","10 - 14세","여자인구수","명","37",
"삼청동","15 - 19세","총인구수","명","105",
"삼청동","15 - 19세","남자인구수","명","61",
"삼청동","15 - 19세","여자인구수","명","44",
"삼청동","20 - 24세","총인구수","명","167",
"삼청동","20 - 24세","남자인구수","명","87",
"삼청동","20 - 24세","여자인구수","명","80",
"삼청동","25 - 29세","총인구수","명","189",
"삼청동","25 - 29세","남자인구수","명","96",
"삼청동","25 - 29세","여자인구수","명","93",
"삼청동","30 - 34세","총인구수","명","186",
"삼청동","30 - 34세","남자인구수","명","89",
"삼청동","30 - 34세","여자인구수","명","97",
"삼청동","35 - 39세","총인구수","명","203",
"삼청동","35 - 39세","남자인구수","명","101",
"삼청동","35 - 39세","여자인구수","명","102",
"삼청동","40 - 44세","총인구수","명","187",
"삼청동","40 - 44세","남자인구수","명","99",
"삼청동","40 - 44세","여자인구수","명","88",
"삼청동","45 - 49세","총인구수","명","196",
"삼청동","45 - 49세","남자인구수","명","90",
"삼청동","45 - 49세","여자인구수","명","106",
"삼청동","50 - 54세","총인구수","명","206",
"삼청동","50 - 54세","남자인구수","명","95",
"삼청동","50 - 54세","여자인구수","명","111",
"삼청동","55 - 59세","총인구수","명","231",
"삼청동","55 - 59세","남자인구수","명","113",
"삼청동","55 - 59세","여자인구수","명","118",
"삼청동","60 - 64세","총인구수","명","234",
"삼청동","60 - 64세","남자인구수","명","110",
"삼청동","60 - 64세","여자인구수","명","124",
"삼청동","65 - 69세","총인구수","명","166",
"삼청동","65 - 69세","남자인구수","명","78",
"삼청동","65 - 69세","여자인구수","명","88",
"삼청동","70 - 74세","총인구수","명","156",
"삼청동","70 - 74세","남자인구수","명","72",
"삼청동","70 - 74세","여자인구수","명","84",
"삼청동","75 - 79세","총인구수","명","140",
"삼청동","75 - 79세","남자인구수","명","62",
"삼청동","75 - 79세","여자인구수","명","78",
"삼청동","80 - 84세","총인구수","명","89",
"삼청동","80 - 84세","남자인구수","명","30",
"삼청동","80 - 84세","여자인구수","명","59",
"삼청동","85 - 89세","총인구수","명","56",
"삼청동","85 - 89세","남자인구수","명","17",
"삼청동","85 - 89세","여자인구수","명","39",
"삼청동","90 - 94세","총인구수","명","21",
"삼청동","90 - 94세","남자인구수","명","9",
"삼청동","90 - 94세","여자인구수","명","12",
"삼청동","95 - 99세","총인구수","명","7",
"삼청동","95 - 99세","남자인구수","명","4",
"삼청동","95 - 99세","여자인구수","명","3",
"삼청동","100+","총인구수","명","8",
"삼청동","100+","남자인구수","명","0",
"삼청동","100+","여자인구수","명","8",
"부암동","계","총인구수","명","10100",
"부암동","계","남자인구수","명","4826",
"부암동","계","여자인구수","명","5274",
"부암동","0 - 4세","총인구수","명","235",
"부암동","0 - 4세","남자인구수","명","113",
"부암동","0 - 4세","여자인구수","명","122",
"부암동","5 - 9세","총인구수","명","363",
"부암동","5 - 9세","남자인구수","명","194",
"부암동","5 - 9세","여자인구수","명","169",
"부암동","10 - 14세","총인구수","명","449",
"부암동","10 - 14세","남자인구수","명","250",
"부암동","10 - 14세","여자인구수","명","199",
"부암동","15 - 19세","총인구수","명","507",
"부암동","15 - 19세","남자인구수","명","270",
"부암동","15 - 19세","여자인구수","명","237",
"부암동","20 - 24세","총인구수","명","638",
"부암동","20 - 24세","남자인구수","명","339",
"부암동","20 - 24세","여자인구수","명","299",
"부암동","25 - 29세","총인구수","명","753",
"부암동","25 - 29세","남자인구수","명","391",
"부암동","25 - 29세","여자인구수","명","362",
"부암동","30 - 34세","총인구수","명","587",
"부암동","30 - 34세","남자인구수","명","272",
"부암동","30 - 34세","여자인구수","명","315",
"부암동","35 - 39세","총인구수","명","667",
"부암동","35 - 39세","남자인구수","명","311",
"부암동","35 - 39세","여자인구수","명","356",
"부암동","40 - 44세","총인구수","명","679",
"부암동","40 - 44세","남자인구수","명","313",
"부암동","40 - 44세","여자인구수","명","366",
"부암동","45 - 49세","총인구수","명","958",
"부암동","45 - 49세","남자인구수","명","445",
"부암동","45 - 49세","여자인구수","명","513",
"부암동","50 - 54세","총인구수","명","903",
"부암동","50 - 54세","남자인구수","명","408",
"부암동","50 - 54세","여자인구수","명","495",
"부암동","55 - 59세","총인구수","명","820",
"부암동","55 - 59세","남자인구수","명","381",
"부암동","55 - 59세","여자인구수","명","439",
"부암동","60 - 64세","총인구수","명","785",
"부암동","60 - 64세","남자인구수","명","367",
"부암동","60 - 64세","여자인구수","명","418",
"부암동","65 - 69세","총인구수","명","488",
"부암동","65 - 69세","남자인구수","명","236",
"부암동","65 - 69세","여자인구수","명","252",
"부암동","70 - 74세","총인구수","명","451",
"부암동","70 - 74세","남자인구수","명","197",
"부암동","70 - 74세","여자인구수","명","254",
"부암동","75 - 79세","총인구수","명","342",
"부암동","75 - 79세","남자인구수","명","153",
"부암동","75 - 79세","여자인구수","명","189",
"부암동","80 - 84세","총인구수","명","264",
"부암동","80 - 84세","남자인구수","명","109",
"부암동","80 - 84세","여자인구수","명","155",
"부암동","85 - 89세","총인구수","명","128",
"부암동","85 - 89세","남자인구수","명","54",
"부암동","85 - 89세","여자인구수","명","74",
"부암동","90 - 94세","총인구수","명","51",
"부암동","90 - 94세","남자인구수","명","13",
"부암동","90 - 94세","여자인구수","명","38",
