행정구역(동읍면)별,5세별,2019. 12,2019. 12,2019. 12
행정구역(동읍면)별,5세별,총인구수 (명),남자인구수 (명),여자인구수 (명)
　　　강남구,0 - 4세,"15,369","7,859","7,510"
　　　강남구,5 - 9세,"23,335","12,160","11,175"
　　　강남구,10 - 14세,"28,063","14,617","13,446"
　　　강남구,15 - 19세,"32,388","16,966","15,422"
　　　강남구,20 - 24세,"34,181","16,699","17,482"
　　　강남구,25 - 29세,"41,785","19,758","22,027"
　　　강남구,30 - 34세,"40,309","18,576","21,733"
　　　강남구,35 - 39세,"45,314","20,597","24,717"
　　　강남구,40 - 44세,"46,394","21,019","25,375"
　　　강남구,45 - 49세,"53,610","25,542","28,068"
　　　강남구,50 - 54세,"43,717","22,002","21,715"
　　　강남구,55 - 59세,"36,529","17,888","18,641"
　　　강남구,60 - 64세,"33,279","15,254","18,025"
　　　강남구,65 - 69세,"24,531","11,146","13,385"
　　　강남구,70 - 74세,"19,823","9,296","10,527"
　　　강남구,75 - 79세,"13,030","6,379","6,651"
　　　강남구,80 - 84세,"7,350","3,251","4,099"
　　　강남구,85 - 89세,"3,703","1,219","2,484"
　　　강남구,90 - 94세,"1,703",414,"1,289"
　　　강남구,95 - 99세,485,111,374
　　　강남구,100+,271,53,218
　　　송파구,계,"675,961","327,164","348,797"
　　　송파구,0 - 4세,"24,527","12,806","11,721"
　　　송파구,5 - 9세,"29,107","14,906","14,201"
　　　송파구,10 - 14세,"28,709","14,664","14,045"
　　　송파구,15 - 19세,"32,964","16,949","16,015"
　　　송파구,20 - 24세,"41,736","20,545","21,191"
　　　송파구,25 - 29세,"54,273","25,706","28,567"
　　　송파구,30 - 34세,"54,723","26,185","28,538"
　　　송파구,35 - 39세,"59,804","28,797","31,007"
　　　송파구,40 - 44세,"53,263","25,656","27,607"
　　　송파구,45 - 49세,"57,388","27,761","29,627"
　　　송파구,50 - 54세,"52,751","25,682","27,069"
　　　송파구,55 - 59세,"51,698","24,697","27,001"
　　　송파구,60 - 64세,"47,836","22,538","25,298"
　　　송파구,65 - 69세,"32,762","15,850","16,912"
　　　송파구,70 - 74세,"23,322","11,494","11,828"
　　　송파구,75 - 79세,"15,107","7,257","7,850"
　　　송파구,80 - 84세,"8,867","3,666","5,201"
　　　송파구,85 - 89세,"4,485","1,389","3,096"
　　　송파구,90 - 94세,"1,859",441,"1,418"
　　　송파구,95 - 99세,510,108,402
　　　송파구,100+,270,67,203
　　　강동구,계,"436,067","215,335","220,732"
　　　강동구,0 - 4세,"14,581","7,528","7,053"
　　　강동구,5 - 9세,"17,581","9,192","8,389"
　　　강동구,10 - 14세,"17,661","9,376","8,285"
　　　강동구,15 - 19세,"20,800","10,877","9,923"
　　　강동구,20 - 24세,"26,339","13,437","12,902"
　　　강동구,25 - 29세,"32,666","16,231","16,435"
　　　강동구,30 - 34세,"31,284","15,746","15,538"
　　　강동구,35 - 39세,"36,459","18,258","18,201"
　　　강동구,40 - 44세,"33,355","16,660","16,695"
　　　강동구,45 - 49세,"36,558","18,263","18,295"
　　　강동구,50 - 54세,"34,650","17,127","17,523"
　　　강동구,55 - 59세,"36,393","17,467","18,926"
　　　강동구,60 - 64세,"34,399","16,255","18,144"
　　　강동구,65 - 69세,"23,374","11,256","12,118"
　　　강동구,70 - 74세,"17,183","8,414","8,769"
　　　강동구,75 - 79세,"11,227","5,335","5,892"
　　　강동구,80 - 84세,"6,467","2,579","3,888"
　　　강동구,85 - 89세,"3,145",908,"2,237"
　　　강동구,90 - 94세,"1,351",287,"1,064"
　　　강동구,95 - 99세,366,80,286
　　　강동구,100+,228,59,169
