행정구역(동읍면)별,5세별,2019. 12,2019. 12,2019. 12
행정구역(동읍면)별,5세별,총인구수 (명),남자인구수 (명),여자인구수 (명)
　　　광진구,35 - 39세,"28,509","14,179","14,330"
　　　광진구,40 - 44세,"25,329","12,545","12,784"
　　　광진구,45 - 49세,"29,161","14,341","14,820"
　　　광진구,50 - 54세,"28,218","13,692","14,526"
　　　광진구,55 - 59세,"27,420","13,455","13,965"
　　　광진구,60 - 64세,"24,385","11,663","12,722"
　　　광진구,65 - 69세,"16,066","7,611","8,455"
　　　광진구,70 - 74세,"12,447","5,755","6,692"
　　　광진구,75 - 79세,"9,496","4,342","5,154"
　　　광진구,80 - 84세,"5,766","2,345","3,421"
　　　광진구,85 - 89세,"2,496",821,"1,675"
　　　광진구,90 - 94세,936,268,668
　　　광진구,95 - 99세,269,64,205
　　　광진구,100+,205,43,162
　　　동대문구,계,"346,194","172,113","174,081"
　　　동대문구,0 - 4세,"10,467","5,380","5,087"
　　　동대문구,5 - 9세,"11,648","5,981","5,667"
　　　동대문구,10 - 14세,"11,211","5,740","5,471"
　　　동대문구,15 - 19세,"14,016","7,052","6,964"
　　　동대문구,20 - 24세,"25,485","12,109","13,376"
　　　동대문구,25 - 29세,"29,543","15,668","13,875"
　　　동대문구,30 - 34세,"24,362","12,690","11,672"
　　　동대문구,35 - 39세,"27,096","13,983","13,113"
　　　동대문구,40 - 44세,"24,657","12,746","11,911"
　　　동대문구,45 - 49세,"27,806","14,306","13,500"
　　　동대문구,50 - 54세,"27,117","13,746","13,371"
　　　동대문구,55 - 59세,"27,491","13,678","13,813"
　　　동대문구,60 - 64세,"26,125","12,718","13,407"
　　　동대문구,65 - 69세,"18,664","8,909","9,755"
　　　동대문구,70 - 74세,"15,368","7,006","8,362"
　　　동대문구,75 - 79세,"12,574","5,591","6,983"
　　　동대문구,80 - 84세,"7,462","3,139","4,323"
　　　동대문구,85 - 89세,"3,301","1,136","2,165"
　　　동대문구,90 - 94세,"1,141",330,811
　　　동대문구,95 - 99세,384,125,259
　　　동대문구,100+,276,80,196
　　　중랑구,계,"397,015","196,959","200,056"
　　　중랑구,0 - 4세,"11,768","6,087","5,681"
　　　중랑구,5 - 9세,"12,944","6,646","6,298"
　　　중랑구,10 - 14세,"12,531","6,411","6,120"
　　　중랑구,15 - 19세,"16,001","8,183","7,818"
　　　중랑구,20 - 24세,"24,589","12,433","12,156"
　　　중랑구,25 - 29세,"31,662","15,752","15,910"
　　　중랑구,30 - 34세,"28,568","14,521","14,047"
　　　중랑구,35 - 39세,"30,954","16,240","14,714"
　　　중랑구,40 - 44세,"27,170","14,178","12,992"
　　　중랑구,45 - 49세,"32,145","16,372","15,773"
　　　중랑구,50 - 54세,"34,460","17,012","17,448"
　　　중랑구,55 - 59세,"36,401","18,021","18,380"
　　　중랑구,60 - 64세,"32,757","16,016","16,741"
　　　중랑구,65 - 69세,"22,222","10,706","11,516"
　　　중랑구,70 - 74세,"17,252","7,945","9,307"
　　　중랑구,75 - 79세,"13,085","5,888","7,197"
　　　중랑구,80 - 84세,"7,588","3,149","4,439"
　　　중랑구,85 - 89세,"3,217","1,006","2,211"
　　　중랑구,90 - 94세,"1,189",269,920
　　　중랑구,95 - 99세,326,83,243
　　　중랑구,100+,186,41,145
　　　성북구,계,"442,650","214,437","228,213"
　　　성북구,0 - 4세,"13,663","7,027","6,636"
　　　성북구,5 - 9세,"17,331","8,832","8,499"
　　　성북구,10 - 14세,"17,568","9,089","8,479"
　　　성북구,15 - 19세,"21,534","10,891","10,643"
　　　성북구,20 - 24세,"32,098","14,948","17,150"
　　　성북구,25 - 29세,"34,172","17,418","16,754"
　　　성북구,30 - 34세,"28,595","14,180","14,415"
　　　성북구,35 - 39세,"33,446","16,663","16,783"
　　　성북구,40 - 44세,"32,546","16,048","16,498"
　　　성북구,45 - 49세,"39,995","19,799","20,196"
　　　성북구,50 - 54세,"35,862","17,908","17,954"
　　　성북구,55 - 59세,"33,979","16,415","17,564"
　　　성북구,60 - 64세,"31,162","14,790","16,372"
　　　성북구,65 - 69세,"21,885","10,245","11,640"
　　　성북구,70 - 74세,"18,127","7,881","10,246"
　　　성북구,75 - 79세,"15,071","6,570","8,501"
　　　성북구,80 - 84세,"9,383","3,788","5,595"
　　　성북구,85 - 89세,"3,974","1,359","2,615"
　　　성북구,90 - 94세,"1,497",387,"1,110"
　　　성북구,95 - 99세,399,104,295
　　　성북구,100+,363,95,268
　　　강북구,계,"313,954","153,235","160,719"
　　　강북구,0 - 4세,"7,679","3,915","3,764"
　　　강북구,5 - 9세,"9,741","5,045","4,696"
　　　강북구,10 - 14세,"10,294","5,288","5,006"
　　　강북구,15 - 19세,"13,366","6,900","6,466"
　　　강북구,20 - 24세,"20,366","9,739","10,627"
　　　강북구,25 - 29세,"22,984","11,637","11,347"
　　　강북구,30 - 34세,"19,007","9,894","9,113"
　　　강북구,35 - 39세,"22,028","11,631","10,397"
　　　강북구,40 - 44세,"21,731","11,208","10,523"
　　　강북구,45 - 49세,"27,198","13,794","13,404"
　　　강북구,50 - 54세,"26,488","12,944","13,544"
　　　강북구,55 - 59세,"27,118","13,120","13,998"
　　　강북구,60 - 64세,"25,480","12,139","13,341"
　　　강북구,65 - 69세,"18,697","8,470","10,227"
　　　강북구,70 - 74세,"16,218","7,023","9,195"
　　　강북구,75 - 79세,"13,369","5,898","7,471"
　　　강북구,80 - 84세,"7,632","3,138","4,494"
　　　강북구,85 - 89세,"2,925","1,004","1,921"
　　　강북구,90 - 94세,"1,082",305,777
　　　강북구,95 - 99세,317,85,232
　　　강북구,100+,234,58,176
　　　도봉구,계,"333,362","163,051","170,311"
　　　도봉구,0 - 4세,"9,127","4,748","4,379"
　　　도봉구,5 - 9세,"11,538","5,937","5,601"
　　　도봉구,10 - 14세,"11,949","6,135","5,814"
　　　도봉구,15 - 19세,"15,782","8,124","7,658"
　　　도봉구,20 - 24세,"21,472","10,964","10,508"
　　　도봉구,25 - 29세,"23,450","12,048","11,402"
　　　도봉구,30 - 34세,"19,893","10,152","9,741"
　　　도봉구,35 - 39세,"23,483","12,021","11,462"
　　　도봉구,40 - 44세,"22,498","11,240","11,258"
　　　도봉구,45 - 49세,"28,573","14,023","14,550"
　　　도봉구,50 - 54세,"28,740","13,638","15,102"
　　　도봉구,55 - 59세,"29,815","14,227","15,588"
　　　도봉구,60 - 64세,"28,378","13,536","14,842"
　　　도봉구,65 - 69세,"18,979","9,243","9,736"
　　　도봉구,70 - 74세,"14,937","6,965","7,972"
　　　도봉구,75 - 79세,"12,185","5,493","6,692"
　　　도봉구,80 - 84세,"7,447","2,987","4,460"
　　　도봉구,85 - 89세,"3,398","1,101","2,297"
　　　도봉구,90 - 94세,"1,243",340,903
　　　도봉구,95 - 99세,316,88,228
　　　도봉구,100+,159,41,118
　　　노원구,계,"532,905","257,923","274,982"
　　　노원구,0 - 4세,"15,274","7,867","7,407"
　　　노원구,5 - 9세,"20,491","10,544","9,947"
　　　노원구,10 - 14세,"24,612","12,800","11,812"
　　　노원구,15 - 19세,"32,236","16,790","15,446"
　　　노원구,20 - 24세,"39,067","20,036","19,031"
　　　노원구,25 - 29세,"35,514","18,481","17,033"
　　　노원구,30 - 34세,"30,568","15,303","15,265"
　　　노원구,35 - 39세,"36,762","18,150","18,612"
　　　노원구,40 - 44세,"39,176","18,679","20,497"
　　　노원구,45 - 49세,"50,728","24,200","26,528"
　　　노원구,50 - 54세,"46,130","22,473","23,657"
　　　노원구,55 - 59세,"42,826","20,610","22,216"
　　　노원구,60 - 64세,"38,667","17,994","20,673"
　　　노원구,65 - 69세,"26,313","12,371","13,942"
　　　노원구,70 - 74세,"20,295","8,986","11,309"
　　　노원구,75 - 79세,"16,247","6,744","9,503"
　　　노원구,80 - 84세,"10,463","3,762","6,701"
　　　노원구,85 - 89세,"5,044","1,514","3,530"
　　　노원구,90 - 94세,"1,748",420,"1,328"
　　　노원구,95 - 99세,492,122,370
　　　노원구,100+,252,77,175
　　　은평구,계,"480,032","231,528","248,504"
　　　은평구,0 - 4세,"14,303","7,279","7,024"
　　　은평구,5 - 9세,"17,380","8,941","8,439"
　　　은평구,10 - 14세,"18,130","9,364","8,766"
　　　은평구,15 - 19세,"22,577","11,492","11,085"
　　　은평구,20 - 24세,"29,833","14,734","15,099"
　　　은평구,25 - 29세,"36,091","17,505","18,586"
　　　은평구,30 - 34세,"31,951","15,641","16,310"
　　　은평구,35 - 39세,"37,776","19,034","18,742"
　　　은평구,40 - 44세,"35,752","17,744","18,008"
　　　은평구,45 - 49세,"42,471","20,903","21,568"
　　　은평구,50 - 54세,"38,862","18,882","19,980"
　　　은평구,55 - 59세,"38,579","18,378","20,201"
　　　은평구,60 - 64세,"35,760","16,732","19,028"
　　　은평구,65 - 69세,"25,392","11,569","13,823"
　　　은평구,70 - 74세,"21,254","9,420","11,834"
　　　은평구,75 - 79세,"16,936","7,496","9,440"
　　　은평구,80 - 84세,"10,365","4,313","6,052"
　　　은평구,85 - 89세,"4,230","1,464","2,766"
　　　은평구,90 - 94세,"1,568",438,"1,130"
　　　은평구,95 - 99세,425,129,296
　　　은평구,100+,397,70,327
　　　서대문구,계,"309,397","148,663","160,734"
　　　서대문구,0 - 4세,"9,450","4,909","4,541"
　　　서대문구,5 - 9세,"10,945","5,559","5,386"
　　　서대문구,10 - 14세,"10,806","5,424","5,382"
　　　서대문구,15 - 19세,"13,809","6,944","6,865"
　　　서대문구,20 - 24세,"22,419","10,348","12,071"
　　　서대문구,25 - 29세,"26,415","13,399","13,016"
　　　서대문구,30 - 34세,"21,409","10,700","10,709"
　　　서대문구,35 - 39세,"23,272","11,508","11,764"
　　　서대문구,40 - 44세,"21,863","10,857","11,006"
　　　서대문구,45 - 49세,"26,233","12,942","13,291"
　　　서대문구,50 - 54세,"25,040","12,150","12,890"
　　　서대문구,55 - 59세,"24,364","11,744","12,620"
　　　서대문구,60 - 64세,"21,727","10,362","11,365"
　　　서대문구,65 - 69세,"15,065","6,900","8,165"
　　　서대문구,70 - 74세,"13,018","5,585","7,433"
　　　서대문구,75 - 79세,"11,172","4,772","6,400"
　　　서대문구,80 - 84세,"7,459","2,994","4,465"
　　　서대문구,85 - 89세,"3,120","1,067","2,053"
　　　서대문구,90 - 94세,"1,185",337,848
　　　서대문구,95 - 99세,349,89,260
　　　서대문구,100+,277,73,204
　　　마포구,계,"374,035","176,891","197,144"
　　　마포구,0 - 4세,"12,847","6,633","6,214"
　　　마포구,5 - 9세,"13,713","6,846","6,867"
　　　마포구,10 - 14세,"13,897","7,071","6,826"
　　　마포구,15 - 19세,"15,830","7,976","7,854"
　　　마포구,20 - 24세,"25,533","11,553","13,980"
　　　마포구,25 - 29세,"35,202","16,244","18,958"
　　　마포구,30 - 34세,"32,201","14,804","17,397"
　　　마포구,35 - 39세,"33,445","16,357","17,088"
　　　마포구,40 - 44세,"29,630","14,282","15,348"
　　　마포구,45 - 49세,"32,838","16,128","16,710"
　　　마포구,50 - 54세,"28,143","13,901","14,242"
　　　마포구,55 - 59세,"26,027","12,720","13,307"
　　　마포구,60 - 64세,"22,625","10,590","12,035"
　　　마포구,65 - 69세,"15,419","6,918","8,501"
　　　마포구,70 - 74세,"13,193","5,541","7,652"
　　　마포구,75 - 79세,"11,147","4,801","6,346"
　　　마포구,80 - 84세,"7,217","2,875","4,342"
　　　마포구,85 - 89세,"3,278","1,143","2,135"
　　　마포구,90 - 94세,"1,178",329,849
　　　마포구,95 - 99세,354,102,252
　　　마포구,100+,318,77,241
　　　양천구,계,"458,165","225,186","232,979"
　　　양천구,0 - 4세,"13,156","6,757","6,399"
　　　양천구,5 - 9세,"20,000","10,312","9,688"
　　　양천구,10 - 14세,"24,390","12,702","11,688"
　　　양천구,15 - 19세,"28,193","14,712","13,481"
　　　양천구,20 - 24세,"30,337","15,827","14,510"
　　　양천구,25 - 29세,"30,627","15,472","15,155"
　　　양천구,30 - 34세,"26,893","13,318","13,575"
　　　양천구,35 - 39세,"32,942","16,049","16,893"
　　　양천구,40 - 44세,"35,968","16,935","19,033"
　　　양천구,45 - 49세,"44,692","21,675","23,017"
　　　양천구,50 - 54세,"40,217","20,041","20,176"
　　　양천구,55 - 59세,"37,207","18,479","18,728"
　　　양천구,60 - 64세,"32,396","15,521","16,875"
　　　양천구,65 - 69세,"22,095","10,785","11,310"
　　　양천구,70 - 74세,"15,926","7,616","8,310"
